CUARTOS;;;;
Napoles;Italia;A;1;napoles.png
Internazionale Milan;Italia;C;2;inter.png
Bayern de Munich;Alemania;C;1;bayern.png
Milan;Italia;E;2;milan.png
Chelsea;Inglaterra;E;1;chelsea.png
Real Madrid;España;F;1;reaMadrid.pnf
Manchester City;Inglaterra;G;1;manCity.png
Benfica;Portugal;H;1;benfica.png
